steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.30000000000000004,1,0.30000000000000004,0.7
2,2,0.6000000000000001,1,0.30000000000000004,1.4
3,3,1.1,1,0.5,1.9
4,4,1.4000000000000001,1,0.30000000000000004,2.5999999999999996
5,5,2.1,1,0.7000000000000001,2.8999999999999995
6,6,2.8000000000000003,1,0.7000000000000001,3.1999999999999993
7,7,3.3000000000000003,1,0.5,3.6999999999999993
8,8,4.2,1,0.9,3.7999999999999994
9,9,5.0,1,0.8,3.999999999999999
10,10,5.8,1,0.8,4.199999999999999
12,12,6.5,1,0.7000000000000001,5.499999999999999
14,14,7.300000000000001,1,0.4,6.699999999999998
17,17,8.2,1,0.7000000000000001,8.799999999999999
20,20,9.700000000000001,1,0.30000000000000004,10.299999999999997
25,25,11.500000000000004,1,0.30000000000000004,13.499999999999995
30,30,14.600000000000001,1,0.1,15.399999999999997
40,40,19.700000000000003,1,0.30000000000000004,20.299999999999994
50,50,24.6,1,0.0,25.399999999999995
60,60,30.300000000000004,1,0.30000000000000004,29.699999999999992
70,70,35.00000000000001,1,0.5,34.99999999999999
80,80,41.20000000000001,1,0.1,38.79999999999999
90,90,47.60000000000001,1,1.0,42.39999999999999
100,100,54.0,1,0.9,46.0
120,120,63.7,1,0.6000000000000001,56.3
140,140,75.70000000000002,1,0.0,64.30000000000001
170,170,90.80000000000001,1,0.5,79.20000000000002
200,200,105.60000000000007,1,0.8,94.39999999999996
250,250,127.10000000000005,1,0.6000000000000001,122.89999999999998
300,300,149.40000000000006,1,0.30000000000000004,150.59999999999994
400,400,198.40000000000006,1,0.7000000000000001,201.59999999999994
500,500,246.20000000000007,1,0.30000000000000004,253.79999999999993
600,600,296.49999999999994,1,0.2,303.5000000000001
700,700,343.3999999999999,1,0.7000000000000001,356.60000000000014
800,800,391.8999999999999,1,1.0,408.10000000000014
900,900,442.10000000000014,1,0.8,457.8999999999999
1000,1000,490.70000000000005,1,0.8,509.3
1200,1200,585.9000000000005,1,0.1,614.0999999999996
1400,1400,694.1000000000006,1,0.9,705.8999999999995
1700,1700,852.3000000000002,1,0.9,847.6999999999999
2000,2000,1002.5000000000002,1,0.4,997.4999999999999
2500,2500,1247.8999999999999,1,0.6000000000000001,1252.1000000000006
3000,3000,1508.2000000000014,1,0.5,1491.799999999999
4000,4000,2006.6999999999969,1,0.8,1993.3000000000036
5000,5000,2497.9999999999995,1,0.1,2502.000000000001
6000,6000,2984.6999999999935,1,0.2,3015.300000000007
7000,7000,3468.099999999993,1,0.30000000000000004,3531.9000000000074
8000,8000,3978.2999999999906,1,0.6000000000000001,4021.70000000001
9000,9000,4471.699999999991,1,0.4,4528.300000000012
10000,10000,4967.199999999985,1,0.4,5032.8000000000175
