steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.30783818800945056,1,0.30783818800945056,0.8
2,2,1.0020750416082385,1,0.694236853598788,1.6
3,3,3.2896173004017903,1,2.2875422587935517,1.9
4,4,4.606862972046255,1,1.3172456716444645,2.7
5,5,4.765281089250118,1,0.15841811720386392,3.7
6,6,5.98019232572202,1,1.2149112364719017,4.7
7,7,6.508983136644815,1,0.5287908109227951,5.0
8,8,6.351485598599133,1,-0.15749753804568178,5.0
9,9,5.750849759011396,1,-0.6006358395877373,5.1
10,10,7.4392949244401585,1,1.6884451654287624,5.199999999999999
12,12,9.160266999772162,1,0.6206875210717872,6.3999999999999995
14,14,10.174529426725147,1,0.693265889498643,7.199999999999999
17,17,11.45588740471774,1,0.6655964191553483,9.6
20,20,11.923695516469174,1,1.554621236278237,11.200000000000001
25,25,15.101519648931598,1,0.16726897347873718,13.800000000000002
30,30,20.89616247917633,1,1.6220247144098532,17.6
40,40,24.618583222000776,1,-0.3950537289646113,23.8
50,50,33.27482954055004,1,1.0733113595814723,28.099999999999998
60,60,37.24683752220861,1,-1.535186742264127,33.3
70,70,43.012524188311694,1,2.6638967251358587,37.8
80,80,44.74161033838626,1,0.07077232660220031,43.3
90,90,52.0616144655031,1,0.9329226225461994,48.8
100,100,56.853610463725246,1,2.1064585257870174,53.89999999999999
120,120,72.43690281387958,1,1.1370975182349123,63.999999999999986
140,140,85.16442359989514,1,0.04645033048092817,71.49999999999997
170,170,97.34727077883569,1,1.6294533973176046,87.69999999999995
200,200,105.9836261376967,1,0.9290085189220096,103.19999999999999
250,250,128.76487316892462,1,0.6448096346671641,127.50000000000001
300,300,155.5887155199864,1,-0.8675107245560163,153.8
400,400,221.39439339604587,1,0.19988749485452556,202.99999999999991
500,500,263.82360028646696,1,0.1552771040850949,252.69999999999993
600,600,327.8953441093387,1,1.3654077276356609,298.20000000000005
700,700,372.7677044035583,1,-0.2662657861607474,350.3
800,800,424.8975728010909,1,-0.6795767436006391,399.8
900,900,464.14935018410813,1,1.2067290483328723,453.00000000000006
1000,1000,498.1720689193582,1,-0.3315376459805993,501.59999999999997
1200,1200,590.5947171646304,1,-0.055603446607260465,600.6000000000006
1400,1400,693.2801054415554,1,1.0164889130854127,694.3000000000006
1700,1700,829.3220732084196,1,1.0168970847528378,844.3000000000004
2000,2000,993.496666771232,1,0.09544161071047441,995.0000000000006
2500,2500,1241.7589117672896,1,-0.6101949707043977,1250.8000000000004
3000,3000,1486.2685824801843,1,0.5156817220482096,1499.3000000000006
4000,4000,1945.7106221528143,1,0.6688752884303983,2000.7999999999986
5000,5000,2461.7598508530905,1,0.3396312823829104,2491.899999999999
6000,6000,2904.3083445022266,1,0.4389238005460674,3023.399999999996
7000,7000,3373.3558142388633,1,-0.4690569108068951,3523.5999999999976
8000,8000,3887.880049548131,1,0.40797602709222947,4026.7
9000,9000,4359.891666500765,1,-0.6330123256140006,4530.299999999999
10000,10000,4793.427843437408,1,0.2443404428257912,5039.199999999988
