steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0005,1,0.0005,0.5
2,2,0.001,1,0.0005,1.0
3,3,0.0012000000000000001,1,0.0002,1.8
4,4,0.0017000000000000001,1,0.0005,2.3
5,5,0.002,1,0.00030000000000000003,3.0
6,6,0.0023,1,0.00030000000000000003,3.7
7,7,0.0025,1,0.0002,4.5
8,8,0.0033,1,0.0008,4.7
9,9,0.0033,1,0.0,5.7
10,10,0.0033,1,0.0,6.7
12,12,0.0046,1,0.00030000000000000003,7.4
14,14,0.006,1,0.0007000000000000001,8.0
17,17,0.0075,1,0.00030000000000000003,9.5
20,20,0.009300000000000001,1,0.0005,10.7
25,25,0.012600000000000002,1,0.0005,12.399999999999999
30,30,0.0143,1,0.0006000000000000001,15.699999999999998
40,40,0.0195,1,0.0005,20.499999999999996
50,50,0.024900000000000002,1,0.001,25.099999999999998
60,60,0.028200000000000003,1,0.0005,31.799999999999997
70,70,0.0341,1,0.0002,35.89999999999999
80,80,0.03900000000000001,1,0.0006000000000000001,41.0
90,90,0.04260000000000002,1,0.0001,47.4
100,100,0.04730000000000003,1,0.0008,52.7
120,120,0.058100000000000034,1,0.0004,61.90000000000001
140,140,0.06770000000000005,1,0.001,72.30000000000003
170,170,0.0804000000000001,1,0.0002,89.60000000000004
200,200,0.09730000000000011,1,0.0,102.7
250,250,0.12660000000000016,1,0.0004,123.4
300,300,0.1551000000000002,1,0.0005,144.9
400,400,0.20530000000000015,1,0.00030000000000000003,194.70000000000007
500,500,0.25180000000000025,1,0.0005,248.20000000000007
600,600,0.30160000000000003,1,0.0009000000000000001,298.40000000000003
700,700,0.3546000000000002,1,0.00030000000000000003,345.4000000000002
800,800,0.4058000000000004,1,0.0001,394.2000000000002
900,900,0.45730000000000054,1,0.0,442.6999999999999
1000,1000,0.5078000000000007,1,0.0,492.2
1200,1200,0.6198000000000009,1,0.0006000000000000001,580.2000000000003
1400,1400,0.7218000000000001,1,0.0008,678.2000000000011
1700,1700,0.8637999999999986,1,0.0008,836.2000000000004
2000,2000,1.0156999999999956,1,0.0007000000000000001,984.3000000000005
2500,2500,1.2693999999999677,1,0.0004,1230.6000000000008
3000,3000,1.5164999999999405,1,0.0002,1483.5000000000002
4000,4000,1.9991999999998873,1,0.0,2000.8000000000009
5000,5000,2.511799999999931,1,0.0006000000000000001,2488.200000000006
6000,6000,3.017799999999985,1,0.0009000000000000001,2982.2000000000085
7000,7000,3.534500000000031,1,0.0005,3465.5000000000114
8000,8000,4.023400000000081,1,0.0004,3976.6000000000154
9000,9000,4.523100000000127,1,0.0007000000000000001,4476.900000000013
10000,10000,5.029900000000178,1,0.0007000000000000001,4970.100000000012
