steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
62,1,61.0,62,61.0,61.0,61.0
191,2,189.0,129,128.0,189.0,128.0
293,3,290.0,102,101.0,290.0,128.0
385,4,381.0,92,91.0,381.0,128.0
542,5,537.0,157,156.0,537.0,156.0
602,6,596.0,60,59.0,596.0,156.0
728,7,721.0,126,125.0,721.0,156.0
792,8,784.0,64,63.0,784.0,156.0
867,9,858.0,75,74.0,858.0,156.0
965,10,955.0,98,97.0,955.0,156.0
1143,12,1131.0,72,71.0,1131.0,156.0
1375,14,1361.0,135,134.0,1361.0,156.0
1625,17,1608.0,96,95.0,1608.0,156.0
1858,20,1838.0,67,66.0,1838.0,156.0
2280,25,2255.0,67,66.0,2255.0,156.0
2694,30,2664.0,96,95.0,2664.0,156.0
3433,40,3393.0,56,55.0,3393.0,156.0
4373,50,4323.0,164,163.0,4323.0,163.0
5232,60,5172.0,80,79.0,5172.0,163.0
6098,70,6028.0,100,99.0,6028.0,163.0
6760,80,6680.0,58,57.0,6680.0,163.0
7727,90,7637.0,176,175.0,7637.0,196.0
8643,100,8543.0,67,66.0,8543.0,196.0
10319,120,10199.0,63,62.0,10199.0,196.0
11813,140,11673.0,78,77.0,11673.0,196.0
14139,170,13969.0,60,59.0,13969.0,196.0
16592,200,16392.0,113,112.0,16392.0,196.0
20573,250,20323.0,56,55.0,20323.0,196.0
24422,300,24122.0,70,69.0,24122.0,196.0
32168,400,31768.0,56,55.0,31768.0,196.0
40357,500,39857.0,67,66.0,39857.0,196.0
48337,600,47737.0,100,99.0,47737.0,196.0
55899,700,55199.0,66,65.0,55199.0,196.0
63689,800,62889.0,66,65.0,62889.0,196.0
71032,900,70132.0,57,56.0,70132.0,196.0
79334,1000,78334.0,105,104.0,78334.0,196.0
