steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
72,1,63.07459814081137,72,63.07459814081137,71.0,71.0
151,2,165.30961037131843,79,102.235012230507,149.0,78.0
254,3,269.63029659687595,103,104.32068622555747,251.0,102.0
320,4,335.5325034862402,66,65.9022068893642,316.0,102.0
387,5,401.7076632131251,67,66.17515972688493,382.0,102.0
456,6,478.9915651590152,69,77.28390194589021,450.0,102.0
562,7,576.0340430178517,106,97.04247785883685,555.0,105.0
621,8,640.774809194261,59,64.7407661764091,613.0,105.0
691,9,711.958634519111,70,71.18382532484968,682.0,105.0
748,10,769.4292500552843,57,57.47061553617344,738.0,105.0
936,12,966.2575276623427,129,135.02405889355217,924.0,128.0
1109,14,1111.5119624340211,84,78.55703538511955,1095.0,128.0
1343,17,1339.3413282837091,89,83.39373104044363,1326.0,128.0
1516,20,1516.0237172770778,72,69.59487630032707,1496.0,128.0
1889,25,1871.7535247923338,75,60.908745047782894,1864.0,128.0
2207,30,2128.891278639891,51,37.975409868626095,2177.0,128.0
2988,40,2908.57843578935,79,74.38416170369423,2948.0,128.0
3688,50,3605.705090009007,100,80.72371447792932,3638.0,128.0
4480,60,4390.947797028253,83,79.31179928574673,4420.0,157.0
5216,70,5124.62782249604,57,58.52272328364477,5146.0,157.0
5969,80,5867.957093476339,75,84.64617289614979,5889.0,157.0
6668,90,6569.649349017726,80,82.83345812554073,6578.0,157.0
7564,100,7474.329966825959,97,93.69447793153705,7464.0,166.0
9143,120,9084.750013145265,89,96.84639762496315,9023.0,166.0
10966,140,10918.633157571145,91,85.56614047835863,10826.0,166.0
13654,170,13561.290551927379,72,94.64483677999262,13484.0,209.0
16001,200,15903.465809130816,53,56.22631429242729,15801.0,209.0
20230,250,20199.644868202715,95,103.13373729249875,19980.0,209.0
24528,300,24376.713853275207,109,94.11023820601041,24228.0,209.0
32491,400,32230.35185749589,78,90.4379532115934,32091.0,209.0
40281,500,40060.560829339796,66,65.72656472668673,39781.0,264.0
48411,600,48046.01004017715,107,122.17598674888609,47811.0,264.0
56110,700,55661.23300554621,64,64.43879948891292,55410.0,264.0
64075,800,63557.685632996436,106,108.7432408721194,63275.0,264.0
71769,900,71086.78759566935,98,77.44982468444834,70869.0,264.0
79427,1000,78588.9751960281,67,59.57036438277352,78427.0,264.0
