steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
58,1,0.057000000000000044,58,0.057000000000000044,57.0,57.0
113,2,0.11100000000000008,55,0.05400000000000004,111.0,57.0
206,3,0.20300000000000015,93,0.09200000000000007,203.0,92.0
295,4,0.2910000000000002,89,0.08800000000000006,291.0,92.0
373,5,0.36800000000000027,78,0.07700000000000005,368.0,92.0
445,6,0.43900000000000033,72,0.07100000000000005,439.0,92.0
489,7,0.4820000000000004,44,0.04300000000000003,482.0,92.0
559,8,0.5510000000000004,70,0.06900000000000005,551.0,92.0
680,9,0.6710000000000005,121,0.12000000000000009,671.0,120.0
732,10,0.7220000000000005,52,0.05100000000000004,722.0,120.0
870,12,0.8580000000000007,47,0.046000000000000034,858.0,120.0
1050,14,1.0359999999999967,70,0.06900000000000005,1036.0,120.0
1230,17,1.2129999999999772,59,0.058000000000000045,1213.0,120.0
1492,20,1.4719999999999487,68,0.06700000000000005,1472.0,126.0
1945,25,1.9199999999998993,110,0.10900000000000008,1920.0,126.0
2362,30,2.331999999999854,75,0.07400000000000005,2332.0,126.0
3189,40,3.148999999999764,75,0.07400000000000005,3149.0,164.0
3836,50,3.785999999999694,61,0.060000000000000046,3786.0,164.0
4681,60,4.620999999999878,65,0.06400000000000004,4621.0,183.0
5543,70,5.473000000000162,97,0.09600000000000007,5473.0,183.0
6412,80,6.332000000000449,87,0.08600000000000006,6332.0,183.0
7177,90,7.087000000000701,106,0.10500000000000008,7087.0,183.0
8057,100,7.957000000000992,79,0.07800000000000006,7957.0,183.0
9609,120,9.48900000000018,90,0.08900000000000007,9489.0,183.0
11194,140,11.053999999999313,82,0.08100000000000006,11054.0,183.0
13625,170,13.454999999997982,130,0.1290000000000001,13455.0,183.0
16079,200,15.878999999996639,83,0.08200000000000006,15879.0,183.0
20390,250,20.14000000000163,154,0.1530000000000001,20140.0,271.0
24325,300,24.02500000000638,61,0.060000000000000046,24025.0,271.0
32556,400,32.15600000001576,53,0.05200000000000004,32156.0,271.0
40444,500,39.94399999999761,67,0.06600000000000004,39944.0,271.0
48328,600,47.72799999997947,70,0.06900000000000005,47728.0,271.0
56407,700,55.70699999996087,94,0.09300000000000007,55707.0,271.0
64235,800,63.43499999994286,76,0.07500000000000005,63435.0,271.0
71941,900,71.04099999997516,87,0.08600000000000006,71041.0,271.0
80259,1000,79.2590000000144,138,0.1370000000000001,79259.0,271.0
