steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
399,1,-26.70000000000011,399,-26.70000000000011,-26.70000000000011,0.0,0.0
862,2,-58.50000000000056,463,-31.800000000000182,-58.50000000000056,0.0,0.0
1595,3,-105.79999999999826,733,-47.3000000000004,-105.79999999999826,0.0,0.0
2371,4,-156.5999999999954,776,-50.80000000000045,-156.5999999999954,0.0,0.0
3160,5,-207.69999999999249,789,-51.100000000000456,-207.69999999999249,0.0,0.0
3593,6,-237.0999999999908,433,-29.400000000000148,-237.0999999999908,0.0,0.0
3830,7,-252.79999999998992,237,-15.69999999999996,-252.79999999998992,0.0,0.0
4374,8,-288.29999999999706,544,-35.500000000000234,-288.29999999999706,0.0,0.0
5033,9,-331.7000000000069,659,-43.40000000000035,-331.7000000000069,0.0,0.0
5541,10,-363.90000000001424,508,-32.20000000000019,-363.90000000001424,0.0,0.0
6536,12,-429.2000000000291,218,-13.499999999999968,-429.2000000000291,0.0,0.0
8538,14,-562.8000000000594,1001,-67.70000000000043,-562.8000000000594,0.0,0.0
10237,17,-678.0000000000856,409,-29.100000000000144,-678.0000000000856,0.0,0.0
11120,20,-736.3000000000989,310,-21.20000000000003,-736.3000000000989,0.0,0.0
14386,25,-951.8000000001479,378,-24.70000000000008,-951.8000000001479,0.0,0.0
17089,30,-1133.000000000065,286,-20.100000000000016,-1133.000000000065,0.0,0.0
21612,40,-1435.5999999997898,722,-48.200000000000415,-1435.5999999997898,0.0,0.0
27153,50,-1799.399999999459,681,-43.70000000000035,-1799.399999999459,0.0,0.0
33817,60,-2248.79999999905,493,-34.100000000000215,-2248.79999999905,0.0,0.0
38435,70,-2550.9999999987754,253,-17.099999999999973,-2550.9999999987754,0.0,0.0
45070,80,-2992.499999998374,295,-19.900000000000013,-2992.499999998374,0.0,0.0
50619,90,-3360.499999998039,880,-58.90000000000057,-3360.499999998039,0.0,0.0
56084,100,-3726.4999999977063,724,-49.000000000000426,-3726.4999999977063,0.0,0.0
66592,120,-4426.799999998573,635,-41.70000000000032,-4426.799999998573,0.0,0.0
79029,140,-5203.700000001556,1001,-65.50000000000055,-5203.700000001556,43.0,0.0
94904,170,-6245.100000005406,907,-60.900000000000595,-6245.100000005406,60.0,0.0
111105,200,-7319.200000009314,312,-19.400000000000006,-7319.200000009314,60.0,0.0
139334,250,-9179.800000016188,858,-58.800000000000566,-9179.800000016188,89.0,0.0
165415,300,-10910.700000022536,967,-67.00000000000047,-10910.700000022536,103.0,0.0
222556,400,-14677.900000036292,307,-20.40000000000002,-14677.900000036292,117.0,0.0
276343,500,-18224.40000001509,567,-39.800000000000296,-18224.40000001509,160.0,0.0
326284,600,-21541.199999966608,558,-36.80000000000025,-21541.199999966608,175.0,0.0
382466,700,-25295.399999911788,591,-38.10000000000027,-25295.399999911788,188.0,0.0
434166,800,-28737.8999998614,334,-23.30000000000006,-28737.8999998614,208.0,0.0
487426,900,-32294.599999809645,607,-42.600000000000335,-32294.599999809645,208.0,0.0
538877,1000,-35684.89999975948,372,-24.300000000000075,-35684.89999975948,265.0,0.0
