steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
14,1,-0.004285714285714286,14,-0.004285714285714286,1,0
28,2,-0.012142857142857143,14,-0.007857142857142858,2,0
42,3,-0.015714285714285715,14,-0.0035714285714285713,3,0
56,4,-0.020714285714285727,14,-0.005,4,0
70,5,-0.02714285714285717,14,-0.0064285714285714285,5,0
84,6,-0.031428571428571465,14,-0.004285714285714286,6,0
98,7,-0.03571428571428576,14,-0.004285714285714286,7,0
112,8,-0.042142857142857204,14,-0.0064285714285714285,8,0
126,9,-0.045714285714285784,14,-0.0035714285714285713,9,0
140,10,-0.04928571428571436,14,-0.0035714285714285713,10,0
168,12,-0.057857142857142954,14,-0.002857142857142857,12,0
196,14,-0.06785714285714292,14,-0.005,14,0
238,17,-0.08428571428571423,14,-0.002857142857142857,17,0
280,20,-0.09857142857142841,14,-0.005714285714285714,20,0
350,25,-0.1214285714285711,14,-0.004285714285714286,25,0
420,30,-0.14714285714285705,14,-0.007142857142857143,30,0
560,40,-0.19785714285714337,14,-0.002142857142857143,40,0
700,50,-0.24642857142857252,14,-0.0035714285714285713,50,0
840,60,-0.29785714285714454,14,-0.0064285714285714285,60,0
980,70,-0.35142857142857375,14,-0.004285714285714286,70,0
1120,80,-0.3992857142857172,14,-0.005714285714285714,80,0
1260,90,-0.4500000000000035,14,-0.0064285714285714285,90,0
1400,100,-0.49142857142857543,14,-0.002142857142857143,100,0
1680,120,-0.5899999999999982,14,-0.005,120,0
1960,140,-0.6942857142857056,14,-0.0064285714285714285,140,0
2380,170,-0.8464285714285528,14,-0.005714285714285714,170,0
2800,200,-0.9942857142856859,14,-0.004285714285714286,200,0
3500,250,-1.2399999999999556,14,-0.004285714285714286,250,0
4200,300,-1.4692857142856548,14,-0.004285714285714286,300,0
5600,400,-1.9814285714284783,14,-0.004285714285714286,400,0
7000,500,-2.454285714285731,14,-0.005714285714285714,500,0
8400,600,-2.9421428571429935,14,-0.004285714285714286,600,0
9800,700,-3.4400000000002584,14,-0.005714285714285714,700,0
11200,800,-3.952142857143241,14,-0.005714285714285714,800,0
12600,900,-4.466428571428791,14,-0.007857142857142858,900,0
14000,1000,-4.960714285714319,14,-0.0035714285714285713,1000,0
16800,1200,-5.970714285713939,14,-0.004285714285714286,1200,0
19600,1400,-6.969999999999277,14,-0.005714285714285714,1400,0
23800,1700,-8.500714285713608,14,-0.005,1700,0
28000,2000,-10.040000000000656,14,-0.002142857142857143,2000,0
35000,2500,-12.5464285714314,14,-0.002857142857142857,2500,0
42000,3000,-15.12000000000506,14,-0.0035714285714285713,3000,0
56000,4000,-20.09214285714205,14,-0.004285714285714286,4000,0
70000,5000,-25.119999999991048,14,-0.004285714285714286,5000,0
84000,6000,-30.152142857125753,14,-0.004285714285714286,6000,0
98000,7000,-35.14428571427616,14,-0.004285714285714286,7000,0
112000,8000,-40.12500000000715,14,-0.005,8000,0
126000,9000,-45.133571428595374,14,-0.005714285714285714,9000,0
140000,10000,-50.12285714289782,14,-0.004285714285714286,10000,0
