steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
14,1,-1.000438330318109,14,-1.000438330318109,1,0
28,2,-1.00686690174668,14,-0.0064285714285714285,2,0
42,3,-1.011152616032394,14,-0.004285714285714286,3,0
56,4,-1.0161526160323937,14,-0.005,4,0
70,5,-1.0225811874609647,14,-0.0064285714285714285,5,0
84,6,-1.0268669017466787,14,-0.004285714285714286,6,0
98,7,-1.261986225972127,14,-0.23511932422544865,7,0
112,8,-1.268414797400698,14,-0.0064285714285714285,8,0
126,9,0.26078795487995166,14,1.5292027522806495,9,0
140,10,1.6340802399919625,14,1.3732922851120108,10,0
168,12,2.295258660484466,14,0.6640355633496456,12,0
196,14,2.2838300890558916,14,-0.0064285714285714285,13,0
238,17,2.267401517627316,14,-0.002857142857142857,15,0
280,20,2.2531158033415983,14,-0.005714285714285714,18,0
350,25,2.1526755799121937,14,-0.08186879485797066,23,0
420,30,2.126247008483616,14,-0.007142857142857143,28,0
560,40,2.569925163860903,14,0.49296386966301436,37,0
700,50,2.152713959657691,14,-0.0035714285714285713,46,0
840,60,0.032533098308012966,14,-0.0064285714285714285,55,0
980,70,1.225745768513978,14,-0.004285714285714286,65,0
1120,80,-1.6194473162904917,14,-0.005714285714285714,75,0
1260,90,-4.1577292124261875,14,-0.0064285714285714285,85,0
1400,100,-7.958744138261372,14,-1.414666639123894,95,0
1680,120,-9.084769949558266,14,0.8721808981405766,115,0
1960,140,-9.351560567308264,14,-0.0064285714285714285,132,0
2380,170,-7.834973357263206,14,-0.005714285714285714,161,0
2800,200,-10.435293062552072,14,-0.004285714285714286,190,0
3500,250,-10.771659904503805,14,-0.03797501352928398,236,0
4200,300,-7.386733823213054,14,0.868601846470759,283,0
5600,400,-8.200742884817943,14,-0.004285714285714286,374,0
7000,500,-1.8342906975856754,14,-0.005714285714285714,463,0
8400,600,3.5189267050790174,14,-0.005,554,0
9800,700,-5.40700038358933,14,-0.005714285714285714,644,0
11200,800,-9.818008357976678,14,-0.005714285714285714,739,0
12600,900,-5.274671557201535,14,-0.007857142857142858,831,0
14000,1000,-10.022535855435438,14,-0.004285714285714286,926,0
16800,1200,-15.452906831431998,14,-0.0035714285714285713,1107,0
19600,1400,-19.006738685028875,14,-0.0035714285714285713,1294,0
23800,1700,-37.024225235705025,14,-0.005,1575,0
28000,2000,-47.344177160364524,14,-0.0928637353428376,1854,0
35000,2500,-49.811042595304976,14,-0.0035714285714285713,2317,0
42000,3000,-48.92181573961741,14,0.6951433379215843,2787,0
56000,4000,-38.77397570103455,14,-0.004285714285714286,3705,0
70000,5000,-37.029216387059165,14,-0.004285714285714286,4639,0
84000,6000,0.9570193591360103,14,-0.04296036755479614,5568,0
98000,7000,14.914067251681416,14,-0.004285714285714286,6507,0
112000,8000,24.647018048074905,14,-0.005,7438,0
126000,9000,6.988837617038207,14,-0.005714285714285714,8356,0
140000,10000,-2.56185889043103,14,-0.005,9287,0
