steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.1,100,1.1
500,5,5.1,100,1.0
600,6,6.199999999999999,100,1.1
700,7,7.199999999999999,100,1.0
800,8,8.299999999999999,100,1.1
900,9,9.399999999999999,100,1.1
1000,10,10.399999999999999,100,1.0
1200,12,12.399999999999999,100,1.0
1400,14,14.499999999999998,100,1.1
1700,17,17.5,100,1.0
2000,20,20.5,100,1.0
2500,25,25.700000000000003,100,1.0
3000,30,30.700000000000003,100,1.0
4000,40,41.00000000000001,100,1.0
5000,50,51.30000000000001,100,1.1
6000,60,61.500000000000014,100,1.1
7000,70,71.7,100,1.0
8000,80,81.8,100,1.0
9000,90,91.99999999999999,100,1.0
10000,100,102.19999999999997,100,1.0
12000,120,122.39999999999996,100,1.0
14000,140,142.69999999999993,100,1.0
17000,170,173.0999999999999,100,1.0
20000,200,203.89999999999986,100,1.0
25000,250,254.8999999999998,100,1.0
30000,300,305.59999999999997,100,1.1
40000,400,407.80000000000047,100,1.1
50000,500,510.30000000000103,100,1.1
60000,600,612.7000000000015,100,1.1
70000,700,714.800000000002,100,1.0
80000,800,817.4000000000026,100,1.1
90000,900,919.100000000003,100,1.0
100000,1000,1021.7000000000036,100,1.0
