steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
18,1,-1.0,18,-1.0,0,2.0
36,2,0.0,18,1.0,1,2.0
54,3,1.0,18,1.0,2,2.0
72,4,2.0,18,1.0,3,2.0
90,5,3.0,18,1.0,4,2.0
108,6,4.0,18,1.0,5,2.0
126,7,5.0,18,1.0,6,2.0
144,8,6.0,18,1.0,7,2.0
162,9,5.0,18,-1.0,7,4.0
180,10,6.0,18,1.0,8,4.0
216,12,8.0,18,1.0,10,4.0
252,14,10.0,18,1.0,12,4.0
306,17,7.0,18,-1.0,12,10.0
360,20,6.0,18,-1.0,13,14.0
450,25,7.0,18,-1.0,16,18.0
540,30,6.0,18,-1.0,18,24.0
720,40,10.0,18,1.0,25,30.0
900,50,10.0,18,1.0,30,40.0
1080,60,8.0,18,-1.0,34,52.0
1260,70,12.0,18,1.0,41,58.0
1440,80,14.0,18,1.0,47,66.0
1620,90,10.0,18,-1.0,50,80.0
1800,100,8.0,18,1.0,54,92.0
2160,120,10.0,18,1.0,65,110.0
2520,140,14.0,18,1.0,77,126.0
3060,170,18.0,18,1.0,94,152.0
3600,200,20.0,18,-1.0,110,180.0
4500,250,30.0,18,1.0,140,220.0
5400,300,22.0,18,-1.0,161,278.0
7200,400,26.0,18,-1.0,213,374.0
9000,500,36.0,18,1.0,268,464.0
10800,600,38.0,18,-1.0,319,562.0
12600,700,26.0,18,1.0,363,674.0
14400,800,34.0,18,1.0,417,766.0
16200,900,38.0,18,-1.0,469,862.0
18000,1000,36.0,18,1.0,518,964.0
21600,1200,64.0,18,-1.0,632,1136.0
25200,1400,44.0,18,1.0,722,1356.0
30600,1700,12.0,18,1.0,856,1688.0
36000,2000,10.0,18,-1.0,1005,1990.0
45000,2500,-42.0,18,1.0,1229,2542.0
54000,3000,-52.0,18,1.0,1474,3052.0
72000,4000,-86.0,18,-1.0,1957,4086.0
90000,5000,-52.0,18,1.0,2474,5052.0
108000,6000,-56.0,18,-1.0,2972,6056.0
126000,7000,-46.0,18,1.0,3477,7046.0
144000,8000,-60.0,18,1.0,3970,8060.0
162000,9000,-78.0,18,-1.0,4461,9078.0
180000,10000,-80.0,18,-1.0,4960,10080.0
