steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,3.0,3,1.0,3,0.0
12,4,4.0,3,1.0,4,0.0
15,5,5.0,3,1.0,5,0.0
18,6,6.0,3,1.0,6,0.0
21,7,5.0,3,-1.0,6,2.0
24,8,6.0,3,1.0,7,2.0
27,9,7.0,3,1.0,8,2.0
30,10,8.0,3,1.0,9,2.0
36,12,8.0,3,-1.0,10,4.0
42,14,10.0,3,1.0,12,4.0
51,17,11.0,3,1.0,14,6.0
60,20,12.0,3,-1.0,16,8.0
75,25,15.0,3,1.0,20,10.0
90,30,20.0,3,1.0,25,10.0
120,40,22.0,3,-1.0,31,18.0
150,50,24.0,3,-1.0,37,26.0
180,60,20.0,3,1.0,40,40.0
210,70,22.0,3,-1.0,46,48.0
240,80,22.0,3,-1.0,51,58.0
270,90,26.0,3,1.0,58,64.0
300,100,24.0,3,-1.0,62,76.0
360,120,18.0,3,-1.0,69,102.0
420,140,18.0,3,-1.0,79,122.0
510,170,12.0,3,1.0,91,158.0
600,200,14.0,3,1.0,107,186.0
750,250,16.0,3,1.0,133,234.0
900,300,4.0,3,-1.0,152,296.0
1200,400,-2.0,3,-1.0,199,402.0
1500,500,6.0,3,1.0,253,494.0
1800,600,0.0,3,-1.0,300,600.0
2100,700,-4.0,3,-1.0,348,704.0
2400,800,-24.0,3,1.0,388,824.0
2700,900,-4.0,3,-1.0,448,904.0
3000,1000,10.0,3,-1.0,505,990.0
3600,1200,-22.0,3,1.0,589,1222.0
4200,1400,-34.0,3,-1.0,683,1434.0
5100,1700,-28.0,3,1.0,836,1728.0
6000,2000,-28.0,3,-1.0,986,2028.0
7500,2500,10.0,3,1.0,1255,2490.0
9000,3000,50.0,3,-1.0,1525,2950.0
12000,4000,68.0,3,1.0,2034,3932.0
15000,5000,66.0,3,-1.0,2533,4934.0
18000,6000,58.0,3,1.0,3029,5942.0
21000,7000,66.0,3,1.0,3533,6934.0
24000,8000,60.0,3,-1.0,4030,7940.0
27000,9000,78.0,3,-1.0,4539,8922.0
30000,10000,88.0,3,-1.0,5044,9912.0
