steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-16.0,1,1.0,36.0
25,25,-21.0,1,-1.0,46.0
30,30,-26.0,1,-1.0,56.0
40,40,-34.0,1,-1.0,74.0
50,50,-40.0,1,-1.0,90.0
60,60,-50.0,1,-1.0,110.0
70,70,-58.0,1,-1.0,128.0
80,80,-68.0,1,-1.0,148.0
90,90,-76.0,1,-1.0,166.0
100,100,-84.0,1,1.0,184.0
120,120,-104.0,1,-1.0,224.0
140,140,-118.0,1,-1.0,258.0
170,170,-140.0,1,-1.0,310.0
200,200,-168.0,1,-1.0,368.0
250,250,-206.0,1,-1.0,456.0
300,300,-246.0,1,-1.0,546.0
400,400,-326.0,1,-1.0,726.0
500,500,-408.0,1,-1.0,908.0
600,600,-492.0,1,-1.0,1092.0
700,700,-556.0,1,-1.0,1256.0
800,800,-638.0,1,-1.0,1438.0
900,900,-724.0,1,-1.0,1624.0
1000,1000,-802.0,1,-1.0,1802.0
1200,1200,-974.0,1,-1.0,2174.0
1400,1400,-1138.0,1,1.0,2538.0
1700,1700,-1356.0,1,-1.0,3056.0
2000,2000,-1600.0,1,-1.0,3600.0
2500,2500,-1988.0,1,-1.0,4488.0
3000,3000,-2376.0,1,-1.0,5376.0
4000,4000,-3194.0,1,-1.0,7194.0
5000,5000,-4016.0,1,-1.0,9016.0
6000,6000,-4846.0,1,1.0,10846.0
7000,7000,-5652.0,1,-1.0,12652.0
8000,8000,-6452.0,1,-1.0,14452.0
9000,9000,-7248.0,1,1.0,16248.0
10000,10000,-8022.0,1,-1.0,18022.0
