steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-6.532633978380729,1,-6.532633978380729,2.0
2,2,-7.697301489745336,1,-1.164667511364607,4.0
3,3,-3.3665437750835308,1,4.3307577146618055,6.0
4,4,-4.889441258016817,1,-1.5228974829332866,8.0
5,5,-10.76997475912173,1,-5.880533501104914,8.0
6,6,-8.707558115466181,1,2.0624166436555496,10.0
7,7,-14.022502662159827,1,-5.314944546693645,12.0
8,8,-12.885458593912208,1,1.1370440682476195,14.0
9,9,-22.037274913020802,1,-9.151816319108594,16.0
10,10,-19.125322551987153,1,2.911952361033647,18.0
12,12,-5.310223056861567,1,11.730399297057165,22.0
14,14,-36.0535430970344,1,-5.360776454231237,26.0
17,17,-23.41376661116667,1,-0.7633207055317504,30.0
20,20,-70.40899030607494,1,-16.5702008962163,36.0
25,25,-103.10332746059856,1,-10.808774815995825,46.0
30,30,-113.90443843214592,1,15.76464754659414,56.0
40,40,-62.880277845358975,1,8.74456730575032,74.0
50,50,-105.75993050930633,1,5.218561246316785,94.0
60,60,-104.00081150994771,1,-16.12481247991334,114.0
70,70,-63.84284924174318,1,4.711696351487079,132.0
80,80,-63.69189863010299,1,-14.679318134939386,150.0
90,90,-71.7795770935716,1,0.862164206508863,168.0
100,100,-119.89994222866372,1,-16.177682583533418,188.0
120,120,-105.62834624252827,1,1.8253853953903327,222.0
140,140,-76.12912270795788,1,3.0151645351984993,252.0
170,170,-96.28708258853469,1,10.448498262384206,304.0
200,200,-272.23603949855664,1,-0.45083082744597647,356.0
250,250,-417.3839974072495,1,11.34204244462772,450.0
300,300,-423.7906084516274,1,-12.851699513447526,542.0
400,400,-550.3062608129634,1,2.957778510003795,720.0
500,500,-657.8476999040946,1,-23.675595724693743,902.0
600,600,-783.6838409616773,1,-0.6635547675581424,1088.0
700,700,-933.6676148470826,1,-2.009350480536989,1260.0
800,800,-1216.2423417623625,1,-13.513805143652876,1446.0
900,900,-1314.182483332615,1,-6.357493576952651,1638.0
1000,1000,-1415.603205507083,1,-9.400663191189185,1822.0
1200,1200,-1239.7491892049122,1,16.66102008721207,2174.0
1400,1400,-1228.3332777067897,1,12.668658531507935,2514.0
1700,1700,-1122.6049482953233,1,8.224845103439987,3050.0
2000,2000,-1002.3778649224931,1,1.6656270152956956,3584.0
2500,2500,-1682.607630015519,1,-4.534962009562974,4484.0
3000,3000,-1983.6705340037743,1,-5.137535034566382,5408.0
4000,4000,-2532.554934236435,1,10.343750874201335,7224.0
5000,5000,-3170.6771623512514,1,0.5502688752729552,9024.0
6000,6000,-4308.119289299936,1,4.9036628420720225,10822.0
7000,7000,-5240.560260956197,1,-12.534851120667497,12610.0
8000,8000,-5703.274451253994,1,12.947747483232577,14384.0
9000,9000,-5984.960944417568,1,0.7581082428795549,16188.0
10000,10000,-6033.431637457798,1,-8.487166068621836,17968.0
