steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.03,1,-0.03,2.0
2,2,-0.06,1,-0.03,4.0
3,3,-0.09,1,-0.03,6.0
4,4,-0.12,1,-0.03,8.0
5,5,-0.15,1,-0.03,10.0
6,6,-0.12,1,0.03,10.0
7,7,-0.15,1,-0.03,12.0
8,8,-0.12,1,0.03,12.0
9,9,-0.15,1,-0.03,14.0
10,10,-0.18,1,-0.03,16.0
12,12,-0.18,1,-0.03,18.0
14,14,-0.24,1,-0.03,22.0
17,17,-0.33000000000000007,1,-0.03,28.0
20,20,-0.42000000000000015,1,-0.03,34.0
25,25,-0.5100000000000002,1,0.03,42.0
30,30,-0.6000000000000003,1,-0.03,50.0
40,40,-0.8400000000000005,1,-0.03,68.0
50,50,-1.0800000000000007,1,-0.03,86.0
60,60,-1.320000000000001,1,-0.03,104.0
70,70,-1.6200000000000012,1,-0.03,124.0
80,80,-1.8600000000000014,1,-0.03,142.0
90,90,-1.9800000000000015,1,-0.03,156.0
100,100,-2.22,1,-0.03,174.0
120,120,-2.699999999999997,1,-0.03,210.0
140,140,-3.179999999999994,1,-0.03,246.0
170,170,-3.959999999999989,1,-0.03,302.0
200,200,-4.799999999999995,1,-0.03,360.0
250,250,-6.120000000000006,1,0.03,454.0
300,300,-7.260000000000016,1,-0.03,542.0
400,400,-9.719999999999985,1,-0.03,724.0
500,500,-12.179999999999932,1,-0.03,906.0
600,600,-14.459999999999884,1,-0.03,1082.0
700,700,-16.979999999999887,1,-0.03,1266.0
800,800,-19.43999999999998,1,-0.03,1448.0
900,900,-21.900000000000073,1,-0.03,1630.0
1000,1000,-24.300000000000164,1,-0.03,1810.0
1200,1200,-28.68000000000033,1,-0.03,2156.0
1400,1400,-33.00000000000049,1,-0.03,2500.0
1700,1700,-39.78000000000075,1,-0.03,3026.0
2000,2000,-46.80000000000101,1,-0.03,3560.0
2500,2500,-58.980000000001475,1,-0.03,4466.0
3000,3000,-70.92000000000192,1,-0.03,5364.0
4000,4000,-95.64000000000286,1,-0.03,7188.0
5000,5000,-119.34000000000376,1,-0.03,8978.0
6000,6000,-143.58000000000467,1,-0.03,10786.0
7000,7000,-167.8800000000056,1,-0.03,12596.0
8000,8000,-191.5800000000065,1,-0.03,14386.0
9000,9000,-215.5200000000074,1,-0.03,16184.0
10000,10000,-239.88000000000832,1,-0.03,17996.0
