steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1000.0,1000,-1000.0,-1000.0
2000,2,-2000.0,1000,-1000.0,-2000.0
3000,3,-3000.0,1000,-1000.0,-3000.0
4000,4,-4000.0,1000,-1000.0,-4000.0
5000,5,-5000.0,1000,-1000.0,-5000.0
6000,6,-6000.0,1000,-1000.0,-6000.0
7000,7,-7000.0,1000,-1000.0,-7000.0
8000,8,-8000.0,1000,-1000.0,-8000.0
9000,9,-9000.0,1000,-1000.0,-9000.0
10000,10,-10000.0,1000,-1000.0,-10000.0
12000,12,-12000.0,1000,-1000.0,-12000.0
14000,14,-14000.0,1000,-1000.0,-14000.0
17000,17,-17000.0,1000,-1000.0,-17000.0
20000,20,-20000.0,1000,-1000.0,-20000.0
25000,25,-25000.0,1000,-1000.0,-25000.0
30000,30,-30000.0,1000,-1000.0,-30000.0
40000,40,-40000.0,1000,-1000.0,-40000.0
50000,50,-50000.0,1000,-1000.0,-50000.0
60000,60,-60000.0,1000,-1000.0,-60000.0
70000,70,-70000.0,1000,-1000.0,-70000.0
80000,80,-80000.0,1000,-1000.0,-80000.0
90000,90,-90000.0,1000,-1000.0,-90000.0
100000,100,-100000.0,1000,-1000.0,-100000.0
120000,120,-120000.0,1000,-1000.0,-120000.0
140000,140,-140000.0,1000,-1000.0,-140000.0
170000,170,-170000.0,1000,-1000.0,-170000.0
200000,200,-200000.0,1000,-1000.0,-200000.0
250000,250,-250000.0,1000,-1000.0,-250000.0
300000,300,-300000.0,1000,-1000.0,-300000.0
400000,400,-400000.0,1000,-1000.0,-400000.0
500000,500,-500000.0,1000,-1000.0,-500000.0
600000,600,-600000.0,1000,-1000.0,-600000.0
700000,700,-700000.0,1000,-1000.0,-700000.0
799912,800,-799912.0,1000,-1000.0,-799912.0
899912,900,-899912.0,1000,-1000.0,-899912.0
999912,1000,-999912.0,1000,-1000.0,-999912.0
