steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-674.7469505148821,1000,-674.7469505148821,-1000.0
2000,2,-2024.7802656103454,1000,-1350.0333150954611,-2000.0
3000,3,-3851.3231828321786,1000,-1826.542917221831,-3000.0
4000,4,-5280.381266957515,1000,-1429.058084125323,-4000.0
5000,5,-6380.242713726608,1000,-1099.861446769097,-5000.0
6000,6,-7458.94607155835,1000,-1078.7033578317287,-6000.0
7000,7,-8034.577331686643,1000,-575.6312601283098,-7000.0
8000,8,-8666.94941592486,1000,-632.3720842382158,-8000.0
9000,9,-9865.216018402978,1000,-1198.2666024781274,-9000.0
10000,10,-10777.24117915039,1000,-912.025160747428,-10000.0
12000,12,-12361.665401974638,1000,-807.3416763292042,-12000.0
14000,14,-14347.727542105196,1000,-863.8590814350586,-14000.0
17000,17,-18049.54538600228,1000,-1458.9500440106347,-17000.0
20000,20,-21335.92285513442,1000,-1122.2551346048915,-20000.0
25000,25,-25809.300125773294,1000,-1157.330077821163,-25000.0
30000,30,-30573.780038862646,1000,-1132.8130258485965,-30000.0
40000,40,-41113.62826959841,1000,-755.83256272163,-40000.0
50000,50,-51483.662839093304,1000,-1217.4908398574885,-50000.0
60000,60,-59604.59432209123,1000,-608.6606666438515,-60000.0
70000,70,-70512.45348607522,1000,-1290.5901295228634,-70000.0
80000,80,-80099.26050861397,1000,-1323.8497190045214,-80000.0
90000,90,-90663.08449710332,1000,-1304.4850852936468,-90000.0
100000,100,-100987.4262133645,1000,-1318.462132337932,-100000.0
120000,120,-123644.87799946062,1000,-780.3136652378143,-120000.0
140000,140,-144571.02231206858,1000,-1145.8017194094973,-140000.0
170000,170,-175884.7148497849,1000,-944.0157596190563,-170000.0
200000,200,-208192.4590476583,1000,-79.24762659086343,-200000.0
250000,250,-257210.12039516214,1000,-821.0409395346695,-250000.0
300000,300,-309964.08565992553,1000,-1110.3143517345175,-300000.0
400000,400,-410785.9858653927,1000,-1139.3807352793974,-400000.0
500000,500,-509256.66012236645,1000,-1059.64052285191,-500000.0
600000,600,-611026.9263901563,1000,-1330.1077571337348,-600000.0
700000,700,-711697.8150971939,1000,-1031.8479505818684,-700000.0
800000,800,-808994.0484784251,1000,-1196.2730488434936,-800000.0
900000,900,-908179.6021811819,1000,-930.989126306981,-900000.0
1000000,1000,-1008282.5005524704,1000,-665.5019281065718,-1000000.0
