steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1.0000000000000007,1000,-1.0000000000000007,-1000.0
2000,2,-1.9999999999998905,1000,-1.0000000000000007,-2000.0
3000,3,-2.9999999999997806,1000,-1.0000000000000007,-3000.0
4000,4,-3.9999999999996705,1000,-1.0000000000000007,-4000.0
5000,5,-5.000000000000004,1000,-1.0000000000000007,-5000.0
6000,6,-6.000000000000338,1000,-1.0000000000000007,-6000.0
7000,7,-7.000000000000672,1000,-1.0000000000000007,-7000.0
8000,8,-8.000000000001005,1000,-1.0000000000000007,-8000.0
9000,9,-9.000000000000451,1000,-1.0000000000000007,-9000.0
10000,10,-9.999999999999897,1000,-1.0000000000000007,-10000.0
12000,12,-11.999999999998789,1000,-1.0000000000000007,-12000.0
14000,14,-13.99999999999768,1000,-1.0000000000000007,-14000.0
17000,17,-16.999999999997794,1000,-1.0000000000000007,-17000.0
20000,20,-20.00000000000146,1000,-1.0000000000000007,-20000.0
25000,25,-25.00000000000757,1000,-1.0000000000000007,-25000.0
30000,30,-30.00000000001368,1000,-1.0000000000000007,-30000.0
40000,40,-39.99999999999748,1000,-1.0000000000000007,-40000.0
50000,50,-49.99999999997417,1000,-1.0000000000000007,-50000.0
60000,60,-59.999999999950866,1000,-1.0000000000000007,-60000.0
70000,70,-69.99999999997019,1000,-1.0000000000000007,-70000.0
80000,80,-80.00000000001793,1000,-1.0000000000000007,-80000.0
90000,90,-90.00000000006568,1000,-1.0000000000000007,-90000.0
100000,100,-100.00000000011343,1000,-1.0000000000000007,-100000.0
120000,120,-120.00000000020893,1000,-1.0000000000000007,-120000.0
140000,140,-140.00000000030442,1000,-1.0000000000000007,-140000.0
170000,170,-170.00000000044767,1000,-1.0000000000000007,-170000.0
200000,200,-200.00000000059092,1000,-1.0000000000000007,-200000.0
250000,250,-250.00000000082966,1000,-1.0000000000000007,-250000.0
300000,300,-299.9999999998178,1000,-1.0000000000000007,-300000.0
400000,400,-399.99999999745313,1000,-1.0000000000000007,-400000.0
500000,500,-499.99999999508844,1000,-1.0000000000000007,-500000.0
600000,600,-599.9999999927238,1000,-1.0000000000000007,-600000.0
700000,700,-699.9999999903591,1000,-1.0000000000000007,-700000.0
799914,800,-799.9139999879965,1000,-1.0000000000000007,-799914.0
899914,900,-899.9139999856318,1000,-1.0000000000000007,-899914.0
999914,1000,-999.9139999832671,1000,-1.0000000000000007,-999914.0
