steps,episode,total_return,episode_len,episode_return,total_regret
20,1,4.0,20,4.0,2.0
40,2,6.0,20,2.0,4.0
60,3,6.0,20,0.0,4.0
80,4,8.0,20,2.0,4.0
100,5,12.0,20,4.0,6.0
120,6,10.0,20,-2.0,6.0
140,7,14.0,20,4.0,6.0
160,8,10.0,20,-4.0,6.0
180,9,10.0,20,0.0,8.0
200,10,14.0,20,4.0,8.0
240,12,8.0,20,-8.0,12.0
280,14,14.0,20,0.0,12.0
340,17,24.0,20,6.0,16.0
400,20,32.0,20,-2.0,20.0
500,25,30.0,20,-6.0,24.0
600,30,30.0,20,-2.0,24.0
800,40,22.0,20,0.0,32.0
1000,50,26.0,20,2.0,46.0
1200,60,44.0,20,4.0,56.0
1400,70,24.0,20,2.0,66.0
1600,80,4.0,20,-4.0,78.0
1800,90,10.0,20,6.0,88.0
2000,100,8.0,20,0.0,100.0
2400,120,10.0,20,-4.0,114.0
2800,140,12.0,20,4.0,130.0
3400,170,54.0,20,8.0,156.0
4000,200,64.0,20,6.0,192.0
5000,250,86.0,20,-6.0,248.0
6000,300,6.0,20,-2.0,304.0
8000,400,106.0,20,2.0,402.0
10000,500,152.0,20,-2.0,494.0
12000,600,164.0,20,-2.0,588.0
14000,700,166.0,20,0.0,682.0
16000,800,216.0,20,-4.0,776.0
18000,900,370.0,20,0.0,866.0
20000,1000,444.0,20,-6.0,964.0
24000,1200,412.0,20,2.0,1164.0
28000,1400,396.0,20,-6.0,1354.0
34000,1700,474.0,20,2.0,1656.0
40000,2000,482.0,20,-6.0,1944.0
50000,2500,506.0,20,6.0,2480.0
60000,3000,310.0,20,-4.0,2980.0
80000,4000,490.0,20,-2.0,3980.0
100000,5000,502.0,20,-2.0,4992.0
120000,6000,416.0,20,-2.0,5992.0
140000,7000,422.0,20,-2.0,6980.0
160000,8000,450.0,20,6.0,7988.0
180000,9000,428.0,20,-2.0,9004.0
200000,10000,538.0,20,0.0,10002.0
