steps,episode,total_return,episode_len,episode_return,total_regret
7,1,1.0,7,1.0,0.0
14,2,-2.0,7,-3.0,2.0
21,3,1.0,7,3.0,2.0
28,4,4.0,7,3.0,4.0
35,5,1.0,7,-3.0,6.0
42,6,-2.0,7,-3.0,6.0
49,7,1.0,7,3.0,6.0
56,8,2.0,7,1.0,6.0
63,9,5.0,7,3.0,6.0
70,10,6.0,7,1.0,6.0
84,12,4.0,7,1.0,8.0
98,14,-2.0,7,-5.0,10.0
119,17,-3.0,7,-5.0,16.0
140,20,-16.0,7,-3.0,20.0
175,25,-11.0,7,1.0,26.0
210,30,-24.0,7,1.0,36.0
280,40,-16.0,7,-1.0,46.0
350,50,-16.0,7,3.0,50.0
420,60,-14.0,7,-1.0,62.0
490,70,-6.0,7,1.0,68.0
560,80,-12.0,7,1.0,78.0
630,90,-16.0,7,3.0,86.0
700,100,-10.0,7,1.0,92.0
840,120,-14.0,7,3.0,112.0
980,140,8.0,7,1.0,128.0
1190,170,32.0,7,3.0,160.0
1400,200,36.0,7,-1.0,184.0
1750,250,52.0,7,1.0,234.0
2100,300,48.0,7,-3.0,278.0
2800,400,80.0,7,3.0,372.0
3500,500,102.0,7,3.0,468.0
4200,600,114.0,7,-1.0,582.0
4900,700,112.0,7,1.0,684.0
5600,800,94.0,7,-3.0,766.0
6300,900,102.0,7,-3.0,870.0
7000,1000,148.0,7,1.0,968.0
8400,1200,80.0,7,-7.0,1168.0
9800,1400,132.0,7,1.0,1338.0
11900,1700,148.0,7,3.0,1626.0
14000,2000,74.0,7,3.0,1920.0
17500,2500,86.0,7,3.0,2404.0
21000,3000,116.0,7,1.0,2920.0
28000,4000,84.0,7,1.0,3938.0
35000,5000,-12.0,7,-1.0,4922.0
42000,6000,-6.0,7,-1.0,5930.0
49000,7000,112.0,7,5.0,6898.0
56000,8000,152.0,7,-3.0,7868.0
63000,9000,108.0,7,5.0,8866.0
70000,10000,66.0,7,-1.0,9880.0
